,total_mismatches,distal_mismatches,proximal_mismatches,wt,hf1,enh,hypa
194,1,1,0,1.0360026623275524,1.0211345777121765,1.0298925860185195,0.9616940647322403
195,1,1,0,0.9770194974145454,0.8656059207102278,0.809781144416189,0.8646086071825618
196,1,1,0,1.135141856934041,0.8192984718783214,0.9881378410361865,0.8387010835261852
197,1,1,0,0.9060632587440235,0.7277804634026486,0.8368151305326234,0.7691072281951364
198,1,1,0,1.0205969338769214,0.7151677490543668,0.6453801753833092,0.9479395262120284
199,1,1,0,1.1275860432656035,0.7657787880604014,0.9598340501855327,0.8053261768720529
200,1,1,0,1.1251618717586616,0.8671989285649515,1.0329499849316355,0.6530900466263011
201,1,1,0,0.9942681706091007,0.04611426189448968,0.05661755520982667,0.24521925206343922
202,1,1,0,1.0809157327478347,0.7697059839163536,0.827552085201859,0.4593754216905755
203,1,1,0,0.8902646351241456,0.8752951154476023,0.9849814865112247,0.6452698487316978
204,1,1,0,0.9434746466749897,0.08285677213278718,0.1080691619814083,0.01238945609205245
205,1,1,0,1.0642887767496738,0.3925011035128697,0.3416099578826309,0.05416155578526565
206,1,1,0,1.0381029610341659,0.6463505709558367,0.8007480451313193,0.2569547667937719
207,1,1,0,0.9727819947177385,0.7923315531688468,0.9101133162450623,0.4355641148253826
208,1,1,0,0.9442274670067439,0.38562376286459005,0.6607208120342541,0.06730259780136895
254,2,2,0,1.0339303693511321,0.819381789052975,0.6372961201814967,0.9939466409500691
255,2,2,0,1.001198225157377,0.016056181643241213,0.018096296267396346,0.3683551785139061
273,3,3,0,0.9274954721582316,0.0007188718397185094,0.016560180102122696,0.4098389231101368
275,3,3,0,0.01707050658898939,0.01794633762491459,0.01813992308605942,0.0048684304080080345
291,1,1,0,1.12994791168797,1.1792649647170805,1.254182387202642,1.1862217732515346
292,1,1,0,1.0373706594256187,0.9940241796134499,1.0934716248324836,0.9706441062053995
293,1,1,0,1.057551497738946,1.0450664673189634,1.1119971885496405,1.0134686405194597
294,1,1,0,1.1290705589694747,0.9630744973779686,1.0569976844678477,1.052497242968353
295,1,1,0,1.141113495158013,0.8414661788849075,0.8387062954790102,1.0494337742173514
296,1,1,0,1.043810186300032,1.0561130355175217,0.8843323894472694,1.3365538609025165
297,1,1,0,1.1368834113294213,0.9246794111313861,1.2075673136841663,0.8548019201724528
298,1,1,0,1.0135118422645975,0.22492417210684604,0.11255910287663518,0.4364326587499878
299,1,1,0,1.0931931598000444,1.05870131040799,0.9702621207669347,0.762380594949225
300,1,1,0,1.1235707646184017,1.0559621605282123,1.1812304300835141,0.9157389371017373
301,1,1,0,1.0441305638936318,0.29566962239592365,0.28063895202415123,0.0633319204945397
302,1,1,0,1.096753931693767,0.6317211084147656,0.7521025100784621,0.05227951753662877
